artifact_id,scenario,lifecycle,artifact,path,status,owner,public_safe,table_title,evidence_class,confidence,source_or_validation
PUB-001,Case 01 — Retail backroom,Govern / Reference,Artifact Index — Retail Backroom Humanoid Deployment,scenarios/01-humanoid-retail-backroom/ARTIFACT_INDEX.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-002,Case 01 — Retail backroom,Govern / Reference,Basis of Estimate and Sensitivity — Retail Backroom Pilot,scenarios/01-humanoid-retail-backroom/BASIS_OF_ESTIMATE_AND_SENSITIVITY.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-003,Case 01 — Retail backroom,Plan / Control,Budget,scenarios/01-humanoid-retail-backroom/BUDGET.csv,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-004,Case 01 — Retail backroom,Initiate / Discover,Business Case and Total Cost of Ownership — Retail Backroom Humanoids,scenarios/01-humanoid-retail-backroom/BUSINESS_CASE_AND_TCO.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-005,Case 01 — Retail backroom,Initiate / Discover,Case Study 1 — Retail Backroom Humanoid Fulfillment,scenarios/01-humanoid-retail-backroom/CASE_STUDY.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-006,Case 01 — Retail backroom,Close / Learn,Closeout and Benefits Report — Retail Backroom Humanoid Pilot,scenarios/01-humanoid-retail-backroom/CLOSEOUT_AND_BENEFITS.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-007,Case 01 — Retail backroom,Execute / Deploy,Deployment Runbook — Retail Backroom Humanoid Pilot,scenarios/01-humanoid-retail-backroom/DEPLOYMENT_RUNBOOK.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-008,Case 01 — Retail backroom,Plan / Design,Integration and Data Plan — Retail Backroom Pilot,scenarios/01-humanoid-retail-backroom/INTEGRATION_AND_DATA_PLAN.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-009,Case 01 — Retail backroom,Close / Learn,Operations Handoff — Retail Backroom Pilot,scenarios/01-humanoid-retail-backroom/OPERATIONS_HANDOFF.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-010,Case 01 — Retail backroom,Initiate / Discover,Project Charter — Two Humanoids for Retail Backroom Fulfillment,scenarios/01-humanoid-retail-backroom/PROJECT_CHARTER.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-011,Case 01 — Retail backroom,Plan / Control,Raci,scenarios/01-humanoid-retail-backroom/RACI.csv,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-012,Case 01 — Retail backroom,Plan / Control,Raid,scenarios/01-humanoid-retail-backroom/RAID.csv,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-013,Case 01 — Retail backroom,Plan / Design,Requirements Traceability,scenarios/01-humanoid-retail-backroom/REQUIREMENTS_TRACEABILITY.csv,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-014,Case 01 — Retail backroom,Govern / Reference,Research and Assumptions — Retail Backroom Humanoid Pilot,scenarios/01-humanoid-retail-backroom/RESEARCH_AND_ASSUMPTIONS.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-015,Case 01 — Retail backroom,Assure / Validate,Safety and Acceptance Plan — Retail Backroom Humanoids,scenarios/01-humanoid-retail-backroom/SAFETY_AND_ACCEPTANCE.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-016,Case 01 — Retail backroom,Plan / Control,Schedule,scenarios/01-humanoid-retail-backroom/SCHEDULE.csv,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-017,Case 01 — Retail backroom,Plan / Design,Site Readiness Checklist — Meridian Store 214,scenarios/01-humanoid-retail-backroom/SITE_READINESS_CHECKLIST.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-018,Case 01 — Retail backroom,Initiate / Discover,Statement of Work — Retail Backroom Humanoid Pilot,scenarios/01-humanoid-retail-backroom/STATEMENT_OF_WORK.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-019,Case 01 — Retail backroom,Execute / Deploy,Training and Change Plan — Retail Backroom Pilot,scenarios/01-humanoid-retail-backroom/TRAINING_AND_CHANGE_PLAN.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-020,Case 01 — Retail backroom,Execute / Deploy,Weekly Status Report — Week 20 Closeout,scenarios/01-humanoid-retail-backroom/WEEKLY_STATUS_REPORT.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-021,Case 02 — Security,Govern / Reference,Artifact Index — Quadruped Night-Security Deployment,scenarios/02-quadruped-security-deployment/ARTIFACT_INDEX.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-022,Case 02 — Security,Govern / Reference,Basis of Estimate and Sensitivity — Quadruped Security,scenarios/02-quadruped-security-deployment/BASIS_OF_ESTIMATE_AND_SENSITIVITY.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-023,Case 02 — Security,Plan / Control,Budget,scenarios/02-quadruped-security-deployment/BUDGET.csv,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-024,Case 02 — Security,Initiate / Discover,Business Case and TCO (Total Cost of Ownership) — Quadruped Night Security,scenarios/02-quadruped-security-deployment/BUSINESS_CASE_AND_TCO.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-025,Case 02 — Security,Initiate / Discover,Case Study 2 — Three Quadrupeds for Night Security,scenarios/02-quadruped-security-deployment/CASE_STUDY.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-026,Case 02 — Security,Close / Learn,Closeout and Benefits — Quadruped Night Security,scenarios/02-quadruped-security-deployment/CLOSEOUT_AND_BENEFITS.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-027,Case 02 — Security,Operate / Support,Incident and Escalation Plan — Night Security,scenarios/02-quadruped-security-deployment/INCIDENT_AND_ESCALATION_PLAN.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-028,Case 02 — Security,Plan / Design,Integration and Data Plan — Night Security,scenarios/02-quadruped-security-deployment/INTEGRATION_AND_DATA_PLAN.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-029,Case 02 — Security,Execute / Deploy,Security Robotics Operations Runbook,scenarios/02-quadruped-security-deployment/OPERATIONS_RUNBOOK.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-030,Case 02 — Security,Assure / Validate,"Privacy, Safety, and Acceptance",scenarios/02-quadruped-security-deployment/PRIVACY_SAFETY_ACCEPTANCE.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-031,Case 02 — Security,Execute / Deploy,Project and Deployment Plan,scenarios/02-quadruped-security-deployment/PROJECT_AND_DEPLOYMENT_PLAN.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-032,Case 02 — Security,Plan / Control,Raci,scenarios/02-quadruped-security-deployment/RACI.csv,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-033,Case 02 — Security,Plan / Control,Raid,scenarios/02-quadruped-security-deployment/RAID.csv,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-034,Case 02 — Security,Plan / Design,Requirements Traceability,scenarios/02-quadruped-security-deployment/REQUIREMENTS_TRACEABILITY.csv,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-035,Case 02 — Security,Govern / Reference,Research and Assumptions — Quadruped Night Security,scenarios/02-quadruped-security-deployment/RESEARCH_AND_ASSUMPTIONS.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-036,Case 02 — Security,Plan / Control,Schedule,scenarios/02-quadruped-security-deployment/SCHEDULE.csv,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-037,Case 02 — Security,Plan / Design,Site Readiness Checklist — Night Security,scenarios/02-quadruped-security-deployment/SITE_READINESS_CHECKLIST.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-038,Case 02 — Security,Initiate / Discover,Statement of Work — Three-Quadruped Security Deployment,scenarios/02-quadruped-security-deployment/STATEMENT_OF_WORK.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-039,Case 02 — Security,Execute / Deploy,Training and Change Plan — Night Security,scenarios/02-quadruped-security-deployment/TRAINING_AND_CHANGE_PLAN.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-040,Case 02 — Security,Execute / Deploy,Weekly Status Report — Quadruped Deployment,scenarios/02-quadruped-security-deployment/WEEKLY_STATUS_REPORT.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-041,Case 03 — Open-source RaaS productization,Govern / Reference,Artifact Index - Open-Source Quadruped RaaS Productization,scenarios/03-open-source-quadruped-raas-productization/ARTIFACT_INDEX.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-042,Case 03 — Open-source RaaS productization,Govern / Reference,Basis of Estimate and Sensitivity - OpenQuad RaaS,scenarios/03-open-source-quadruped-raas-productization/BASIS_OF_ESTIMATE_AND_SENSITIVITY.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-043,Case 03 — Open-source RaaS productization,Plan / Control,Budget And Headcount,scenarios/03-open-source-quadruped-raas-productization/BUDGET_AND_HEADCOUNT.csv,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-044,Case 03 — Open-source RaaS productization,Initiate / Discover,Business Case - Open-Source Quadruped RaaS Productization,scenarios/03-open-source-quadruped-raas-productization/BUSINESS_CASE.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-045,Case 03 — Open-source RaaS productization,Initiate / Discover,Case Study - Open-Source Quadruped to Supported RaaS,scenarios/03-open-source-quadruped-raas-productization/CASE_STUDY.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-046,Case 03 — Open-source RaaS productization,Close / Learn,Closeout and Lessons - OpenQuad RaaS Productization,scenarios/03-open-source-quadruped-raas-productization/CLOSEOUT_AND_LESSONS.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-047,Case 03 — Open-source RaaS productization,Govern / Reference,Commercial Launch Plan - OpenQuad RaaS,scenarios/03-open-source-quadruped-raas-productization/COMMERCIAL_LAUNCH_PLAN.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-048,Case 03 — Open-source RaaS productization,Initiate / Discover,Customer Discovery Plan - Managed Research Quadrupeds,scenarios/03-open-source-quadruped-raas-productization/CUSTOMER_DISCOVERY_PLAN.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-049,Case 03 — Open-source RaaS productization,Govern / Reference,First Customer Launch - OpenQuad RaaS,scenarios/03-open-source-quadruped-raas-productization/FIRST_CUSTOMER_LAUNCH.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
PUB-050,Case 03 — Open-source RaaS productization,Govern / Reference,NPI Stage-Gate Plan - OpenQuad RaaS,scenarios/03-open-source-quadruped-raas-productization/NPI_STAGE_GATE_PLAN.md,Completed scenario evidence,Program Manager,Yes,Public artifact register,Derived calculation,High,Generated from the repository source inventory
